property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
"2 BHK Apartment for Sale in Shiv Samarth 1, Pal Gam Surat",Super Area,Resale,Ready to Move,Unfurnished,East,,₹48 Lac ,4800000.0,1127.0,4259.0,16.0,19.0
2 BHK Apartment for Sale in Mota Varachha Surat,Super Area,Resale,Ready to Move,Unfurnished,North,2 BHK Flat located near Mita varachha Talav,₹49.9 Lac ,4990000.0,1312.0,3800.0,2.0,5.0
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Carpet Area,Resale,Ready to Move,Unfurnished,East,,₹40 Lac ,4000000.0,1265.0,3162.0,13.0,13.0
"2 BHK Apartment for Sale in Vraj Township, Jahangir Pura Surat",Carpet Area,New Property,Ready to Move,Semi-Furnished,West,,₹30 Lac ,3000000.0,880.0,2564.0,1.0,5.0
"2 BHK Apartment for Sale in Swapna Srusthi Residency Plots, Bhestan Surat",Carpet Area,Resale,Ready to Move,Semi-Furnished,North - East,"1st floor, Garden facing",₹24.5 Lac ,2450000.0,750.0,2722.0,1.0,4.0
"2 BHK Apartment for Sale in Mahavir Residency, Rander Road Surat",Carpet Area,Resale,Ready to Move,Semi-Furnished,East,"bus stand , railway station and main market near to the property",₹50 Lac ,5000000.0,1326.0,3333.0,3.0,9.0
"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat",Super Area,Resale,Ready to Move,Semi-Furnished,East,"Newly colour done , new Morden kitchen trolly installed , good sliding window installed , 3 gardens in building , flat as per vastu, main road touch and Morden amenitiesRead more",₹41 Lac ,4100000.0,1250.0,3280.0,11.0,12.0
"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",Super Area,Resale,Ready to Move,Furnished,East,Fully furnished and well maintained flat in best price,₹38 Lac ,3800000.0,970.0,3918.0,3.0,5.0
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,Resale,Ready to Move,Unfurnished,North - West,24 hours water supply and free parking,₹35 Lac ,3500000.0,1000.0,3500.0,5.0,5.0
"2 BHK Apartment for Sale in Vaishnodevi Residency, Dahin Nagar Surat",Carpet Area,Resale,Ready to Move,Furnished,South,,₹34 Lac ,3400000.0,1058.0,3214.0,1.0,7.0
"2 BHK Apartment for Sale in Nakshatra Solitaire, Palanpur Surat",Super Area,Resale,Ready to Move,Unfurnished,East,Covered Allotted Car Parking at ground floor with security in individual buildingRead more,₹46.1 Lac ,4610000.0,1203.0,3832.0,6.0,12.0
"1 BHK Apartment for Sale in Jivandeep Swastik Pride, Surat City Surat",Carpet Area,Resale,Ready to Move,Semi-Furnished,East,,₹20 Lac ,2000000.0,575.0,2667.0,3.0,10.0
"2 BHK Apartment for Sale in Siddhi Vinayak Heights, Pal Surat",Super Area,Resale,Ready to Move,Unfurnished,East,2.5 BHK Flat for sell in Jahangirabadarea with all amenities.,₹45 Lac ,4500000.0,1200.0,3750.0,7.0,14.0
"2 BHK Apartment for Sale in Vaidehi Heights, Dindoli Surat",Carpet Area,Resale,Ready to Move,Furnished,East,"High Reach Aarkitack design, And Extra Space",₹36.5 Lac ,3650000.0,1050.0,3477.0,2.0,12.0
2 BHK  House for Sale in Chalthan Surat,Carpet Area,Resale,Ready to Move,Unfurnished,East,Part of Sugar factory employee resident project located on NH8,₹36 Lac ,3600000.0,1450.0,2118.0,0.0,1.0
1 BHK Apartment for Sale in Angan Appartment Surat,Carpet Area,Resale,Ready to Move,Furnished,South - East,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,₹21 Lac ,2100000.0,695.0,3022.0,3.0,4.0
"1 BHK Apartment for Sale in Ambika Township, Dindoli Surat",Super Area,Resale,Ready to Move,Unfurnished,East,big space socity and nice public socity,₹15 Lac ,1500000.0,630.0,2381.0,4.0,5.0
"1 BHK Penthouse for Sale in Echo Point, Althan Surat",Super Area,Resale,Ready to Move,Furnished,East,1bhk   terrace 100 sqft available flat at althan road,₹43 Lac ,4300000.0,1190.0,3613.0,11.0,11.0
"2 BHK Apartment for Sale in Pavalion Warribee Victoria, Rander Surat",Carpet Area,Resale,Ready to Move,Semi-Furnished,East,,₹40 Lac ,4000000.0,900.0,4444.444444444444,1.0,1.0
"2 BHK Apartment for Sale in Samruddhi Apartment, Gopi Pura Surat",Carpet Area,Resale,Ready to Move,Semi-Furnished,West,Low Rise building,₹30 Lac ,3000000.0,855.0,2527.0,3.0,4.0
"2 BHK Apartment for Sale in Siddhi Vinayak Residency, Sachin Surat",Super Area,Resale,Ready to Move,Semi-Furnished,East,middle in Sachin market school hospital post etc near walking distanceRead more,₹27 Lac ,2700000.0,1075.0,2512.0,6.0,10.0
"2 BHK Apartment for Sale in Sumeru Sky Residency, Mota Varachha Surat",Carpet Area,Resale,Ready to Move,Furnished,North,total base ment parking,₹45 Lac ,4500000.0,800.0,4091.0,8.0,13.0
2 BHK  House for Sale in Olpad Surat,Super Area,Resale,Ready to Move,Unfurnished,North - East,"Property is located at masma to olpad main road, opp. Cng pump, olpad, surat. Construction is 1 year old. Property located touched to 4 lane road. Small society of 250 houses and almost 7080 occupancy ratio. 24 hours water supply. Under ground 1000 ltr tank and 1000 ltr at terrace. 2 bedroom with 1 master & 1 hall available. Ryan international school & vibrant public school near around 2 km. Vegetable market and grocery stores available within 2 km. For more details contact me.Read more",₹29 Lac ,2900000.0,900.0,3222.0,1.0,1.0
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,Resale,Ready to Move,Furnished,South - East,,₹50 Lac ,5000000.0,1180.0,4237.0,5.0,8.0
"2 BHK Apartment for Sale in Nilkanth Seven Homes, Dindoli Surat",Super Area,Resale,Ready to Move,Furnished,East,"East facing, Nr. FLower Garden.",₹36.5 Lac ,3650000.0,1120.0,3260.0,3.0,7.0
"1 BHK Apartment for Sale in Ambika Township, Dindoli Surat",Carpet Area,Resale,Ready to Move,Unfurnished,East,,₹14.5 Lac ,1450000.0,550.0,2638.0,4.0,5.0
"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",Carpet Area,Resale,Ready to Move,Unfurnished,East,,₹40 Lac ,4000000.0,800.0,3333.0,4.0,5.0
